mid_x,mid_y
-11.111757,-47.343595
-10.6748325,-48.986475
-10.185791,-50.614425
-9.588159000000001,-52.205330000000004
-8.811471000000001,-53.715740000000004
-7.748196999999999,-55.03559
-6.348985000000001,-55.992665
-4.781133499999999,-56.645075000000006
-3.1416895,-57.092020000000005
-1.471165,-57.405615
0.21297488499999995,-57.636555
1.9023094999999999,-57.826640000000005
3.591055,-58.021770000000004
5.285525,-58.15451
6.984923,-58.19429
8.684773499999999,-58.176649999999995
10.38398,-58.125535
12.083045,-58.069195
13.782239999999998,-58.01723
15.482099999999999,-58.00187
17.1821,-58.00161
18.882095,-58.001345
20.5821,-58.001084999999996
22.282105,-58.000820000000004
23.982100000000003,-58.00056000000001
25.6821,-58.000294999999994
27.381585,-58.03866000000001
29.080815,-58.08952000000001
30.780614999999997,-58.08994
32.47425,-57.95263
34.15186,-57.681825
35.74855,-57.11711
37.316410000000005,-56.035075
37.83142,-54.62592
37.103229999999996,-53.60996
35.65025,-52.487044999999995
34.006789999999995,-52.088655
32.308555,-52.0237
30.609434999999998,-51.97372
28.909580000000002,-51.96107000000001
27.209715000000003,-51.98146
25.509835,-51.998025
23.809835,-51.998495000000005
22.10983,-51.998965
20.409835,-51.999435000000005
18.709845,-51.99991
17.009845,-52.000375
15.309885000000001,-52.008025
13.610320000000002,-52.046245
11.91074,-52.0835
10.210815,-52.090565
8.5122535,-52.027
6.8161445,-51.913825
5.118854499999999,-51.818505
3.42807,-51.645735
1.76874,-51.284245
0.2383444,-50.560375
-0.80841205,-49.24245500000001
-0.7805834,-47.605760000000004
0.33810175,-46.3665
1.947121,-45.841955
3.6402085,-45.71163
5.3385785,-45.77619
7.033379,-45.908935
8.730496500000001,-46.002285
10.43029,-45.981055
12.13024,-45.982385
13.83022,-45.99059
15.53019,-45.9988
17.23017,-46.007005
18.93013,-46.017934999999994
20.63004,-46.0358
22.329945000000002,-46.05367
24.029854999999998,-46.07063
25.72984,-46.07209
27.42972,-46.053645
29.12904,-46.00721
30.828665,-45.99754
32.52849499999999,-46.01558
34.224045000000004,-45.909425
35.86015,-45.47119
37.398365,-44.436965
37.856145,-43.146330000000006
37.08746,-41.65525
35.68408,-40.706345
34.051005,-40.253524999999996
