x,y
0.0,0.0
1.0009257780355634,0.0
2.0027646413257116,0.0
3.0052906630430436,0.0
4.006349495060408,0.0
5.0087520416251,0.005949549035272166
6.008518367527023,0.03026366731441375
7.0088878713552205,0.06981450698444412
8.00833352362283,0.10556012928410365
9.010929489462816,0.12616619191256984
10.012165243149491,0.13594646255896445
11.016402889747132,0.13493815548177976
12.016833571287004,0.1383775163922761
13.021755997754775,0.14378884802869404
14.026739048370802,0.15111826170184123
15.027460069257884,0.16727007463000565
16.025280503003415,0.24463471856061095
17.022118741222375,0.37203047346869483
18.004850541656637,0.5915104374983252
18.957606605333854,0.9122519681439134
19.87672639628648,1.3267960611290432
20.75028115093954,1.8154153617574036
21.670119046055223,2.2085817132419403
22.628104635835832,2.4970417030830374
23.600189258697345,2.7534022806334657
24.5852001283486,2.961056637426726
25.580775543925483,3.119321425014648
26.58636282489045,3.143053442460952
27.575421299985152,2.9896203859801607
28.53107587719177,2.6782146935448266
29.425823815051576,2.2165320440411143
30.233390593615376,1.6183420329712643
30.935355255589062,0.8976614539241311
31.510297141270197,0.07780984484063315
31.94282679207204,-0.8288778034850243
32.12571333339437,-1.818029606158862
32.029176958706536,-2.818591740751892
31.812748194920346,-3.800306234888328
31.58443077318406,-4.777351668603258
31.347740980513986,-5.75485367718878
31.097296861501334,-6.724300771725623
30.82676589740258,-7.691174100387617
30.466285926522986,-8.624676892878039
29.980994680011147,-9.505044119212904
29.391348209865008,-10.31393940831702
28.703735941063997,-11.045003986209009
27.92822472211582,-11.686115485124937
27.119622169078607,-12.285456391611005
26.295116962730933,-12.853639143186381
25.42231801753573,-13.351140858849359
24.54478424799806,-13.842916401206347
23.697244141356588,-14.376628532639428
22.86546303342128,-14.938837798681504
22.045578257564774,-15.522162615519536
21.18499923907014,-16.035851857516654
20.287084594059234,-16.486985575667003
19.370725863895593,-16.903498112972116
18.463419480712776,-17.327821072348176
17.553317770817934,-17.751341466225067
16.640463246050917,-18.174025829670658
15.730871589613027,-18.59309603481702
14.818568536444007,-19.011312027113465
13.903595925008815,-19.42864152747303
12.991904760165776,-19.84237780280987
12.077584425196815,-20.255210856322726
11.16288930651712,-20.671992054223562
10.26963913420628,-21.123608669110492
9.38976545102513,-21.604821579007087
8.52432075583853,-22.115267605310894
7.679626671607988,-22.651073314260724
6.83601031374344,-23.191655659765544
5.94029899378423,-23.64717751191177
5.011552111523791,-24.02007163831106
4.049494090479299,-24.303119822644238
3.055103785012634,-24.455718937787548
2.0523676360878653,-24.45511292583643
1.070062378264468,-24.262718014329174
0.13765262328799202,-23.89370633420367
-0.7131712212445498,-23.35979912277323
-1.4455867253585823,-22.678331513649535
-2.0389609083870166,-21.87082891787323
-2.4675245958588525,-20.962918119401955
-2.757668267835272,-20.002331400065348
-2.978392420031885,-19.02578290333141
-3.1270452677300176,-18.03466476563998
-3.2415120617255906,-17.038506394866715
-3.266213657798642,-16.033883262534985
-3.2555198563892356,-15.028455792512506
-3.240674893646203,-14.027928045224712
-3.219771335941492,-13.026193676122423
-3.1932632534481074,-12.02328750631935
-3.1603416046498904,-11.019296819841099
-3.121226146610171,-10.019996615953811
-3.0757254222527273,-9.019714112805357
-3.0238194858994154,-8.018526808440717
-2.965489528942305,-7.01651204837204
-2.9003593533608103,-6.013769775176641
-2.7863956174642732,-5.019682326991163
-2.5495188554149877,-4.044303794562293
-2.201698948736253,-3.1011749403470272
-1.7481012261940194,-2.2088864599864078
-1.1363205967215664,-1.4117965067070708
